,date,team,actual,predicted,opponent,opponent_actual,opponent_predicted
0,2002,Giants,loss,loss,49ers,win,win
1,2002,Bills,loss,loss,Jets,win,win
2,2002,Bears,win,win,Vikings,loss,win
3,2002,Bengals,loss,loss,Chargers,win,win
4,2002,Browns,loss,win,Chiefs,win,win
5,2002,Packers,win,win,Falcons,loss,win
6,2002,Titans,win,loss,Eagles,loss,loss
7,2002,Dolphins,win,win,Lions,loss,loss
8,2002,Washington,win,win,Cardinals,loss,loss
9,2002,Panthers,win,win,Ravens,loss,loss
10,2002,Jaguars,loss,win,Colts,win,win
11,2002,Broncos,win,loss,Rams,loss,loss
12,2002,Raiders,win,win,Seahawks,loss,loss
13,2002,Buccaneers,loss,loss,Saints,win,win
14,2002,Texans,win,win,Cowboys,loss,loss
15,2002,Patriots,win,loss,Steelers,loss,loss
16,2002,Falcons,loss,loss,Bears,win,loss
17,2002,Browns,win,win,Bengals,loss,loss
18,2002,Cowboys,win,win,Titans,loss,loss
19,2002,Colts,loss,loss,Dolphins,win,win
20,2002,Chiefs,loss,loss,Jaguars,win,win
21,2002,Saints,win,win,Packers,loss,loss
22,2002,Jets,loss,loss,Patriots,win,win
23,2002,Panthers,win,win,Lions,loss,loss
24,2002,Ravens,loss,loss,Buccaneers,win,win
25,2002,Rams,loss,loss,Giants,win,win
26,2002,Seahawks,loss,win,Cardinals,win,win
27,2002,Vikings,loss,win,Bills,win,win
28,2002,Chargers,win,win,Texans,loss,loss
29,2002,49ers,loss,loss,Broncos,win,win
30,2002,Steelers,loss,loss,Raiders,win,loss
31,2002,Washington,loss,loss,Eagles,win,win
32,2002,Bears,loss,win,Saints,win,loss
33,2002,Titans,loss,win,Browns,win,loss
34,2002,Dolphins,win,win,Jets,loss,loss
35,2002,Vikings,loss,loss,Panthers,win,win
36,2002,Patriots,win,loss,Chiefs,loss,win
37,2002,Eagles,win,loss,Cowboys,loss,loss
38,2002,Texans,loss,loss,Colts,win,win
39,2002,Broncos,win,win,Bills,loss,loss
40,2002,Cardinals,loss,loss,Chargers,win,win
41,2002,Lions,loss,loss,Packers,win,win
42,2002,Giants,win,win,Seahawks,loss,loss
43,2002,49ers,win,win,Washington,loss,loss
44,2002,Falcons,win,win,Bengals,loss,loss
45,2002,Buccaneers,win,win,Rams,loss,loss
46,2002,Bills,win,win,Bears,loss,win
47,2002,Lions,win,win,Saints,loss,loss
48,2002,Packers,win,loss,Panthers,loss,loss
49,2002,Chiefs,win,win,Dolphins,loss,loss
50,2002,Rams,loss,loss,Cowboys,win,win
51,2002,Eagles,win,loss,Texans,loss,loss
52,2002,Steelers,win,win,Browns,loss,loss
53,2002,Jaguars,win,win,Jets,loss,loss
54,2002,Bengals,loss,win,Buccaneers,win,win
55,2002,Cardinals,win,win,Giants,loss,loss
56,2002,Raiders,win,win,Titans,loss,loss
57,2002,Chargers,win,win,Patriots,loss,loss
58,2002,Seahawks,win,win,Vikings,loss,loss
59,2002,Ravens,win,win,Broncos,loss,loss
60,2002,Falcons,loss,loss,Buccaneers,win,win
61,2002,Bills,loss,loss,Raiders,win,win
62,2002,Cowboys,loss,win,Giants,win,win
63,2002,Titans,loss,loss,Washington,win,win
64,2002,Colts,win,win,Bengals,loss,loss
65,2002,Dolphins,win,win,Patriots,loss,loss
66,2002,Saints,win,win,Steelers,loss,loss
67,2002,Panthers,loss,loss,Cardinals,win,win
68,2002,Broncos,win,win,Chargers,loss,loss
69,2002,Jets,loss,win,Chiefs,win,win
70,2002,49ers,win,win,Rams,loss,loss
71,2002,Jaguars,win,win,Eagles,loss,win
72,2002,Browns,loss,loss,Ravens,win,win
73,2002,Bears,loss,loss,Packers,win,win
74,2002,Bengals,loss,loss,Steelers,win,win
75,2002,Cowboys,win,loss,Panthers,loss,win
76,2002,Colts,win,loss,Ravens,loss,loss
77,2002,Vikings,win,win,Lions,loss,win
78,2002,Patriots,loss,loss,Packers,win,win
79,2002,Giants,loss,loss,Falcons,win,win
80,2002,Buccaneers,win,win,Browns,loss,loss
81,2002,Washington,loss,loss,Saints,win,win
82,2002,Texans,loss,win,Bills,win,win
83,2002,Titans,win,win,Jaguars,loss,loss
84,2002,Rams,win,win,Raiders,loss,loss
85,2002,Chargers,win,loss,Chiefs,loss,win
86,2002,Broncos,loss,loss,Dolphins,win,win
87,2002,Seahawks,loss,win,49ers,win,win
88,2002,Falcons,win,win,Panthers,loss,loss
89,2002,Lions,win,win,Bears,loss,win
90,2002,Chiefs,loss,win,Broncos,win,win
91,2002,Rams,win,win,Seahawks,loss,loss
92,2002,Dolphins,loss,loss,Bills,win,win
93,2002,Saints,win,win,49ers,loss,win
94,2002,Jets,win,win,Vikings,loss,loss
95,2002,Ravens,win,win,Jaguars,loss,loss
96,2002,Browns,win,win,Texans,loss,loss
97,2002,Raiders,loss,loss,Chargers,win,win
98,2002,Packers,win,loss,Washington,loss,loss
99,2002,Eagles,win,loss,Buccaneers,loss,loss
100,2002,Cardinals,win,win,Cowboys,loss,win
101,2002,Steelers,win,win,Colts,loss,loss
102,2002,Bills,win,loss,Lions,loss,loss
103,2002,Bengals,loss,win,Titans,win,win
104,2002,Cowboys,loss,loss,Seahawks,win,win
105,2002,Chiefs,win,loss,Raiders,loss,loss
106,2002,Vikings,win,win,Bears,loss,loss
107,2002,Saints,loss,loss,Falcons,win,win
108,2002,Jets,loss,loss,Browns,win,loss
109,2002,Panthers,loss,loss,Buccaneers,win,loss
110,2002,Ravens,loss,loss,Steelers,win,win
111,2002,49ers,win,win,Cardinals,loss,loss
112,2002,Patriots,loss,loss,Broncos,win,win
113,2002,Jaguars,loss,win,Texans,win,win
114,2002,Washington,win,win,Colts,loss,loss
115,2002,Eagles,win,win,Giants,loss,loss
116,2002,Falcons,win,win,Ravens,loss,loss
117,2002,Bills,loss,loss,Patriots,win,win
118,2002,Bears,loss,loss,Eagles,win,win
119,2002,Browns,loss,loss,Steelers,win,win
120,2002,Lions,win,loss,Cowboys,loss,loss
121,2002,Colts,loss,loss,Titans,win,win
122,2002,Buccaneers,win,win,Vikings,loss,loss
123,2002,Texans,loss,loss,Bengals,win,win
124,2002,Chargers,loss,loss,Jets,win,win
125,2002,Raiders,loss,loss,49ers,win,win
126,2002,Cardinals,loss,loss,Rams,win,win
127,2002,Seahawks,loss,loss,Washington,win,loss
128,2002,Giants,win,win,Jaguars,loss,loss
129,2002,Packers,win,win,Dolphins,loss,loss
130,2002,Packers,win,win,Lions,loss,loss
131,2002,Titans,win,win,Texans,loss,loss
132,2002,Rams,win,loss,Chargers,loss,win
133,2002,Vikings,loss,loss,Giants,win,win
134,2002,Eagles,loss,loss,Colts,win,win
135,2002,Panthers,loss,win,Saints,win,win
136,2002,Ravens,win,win,Bengals,loss,win
137,2002,Cardinals,loss,loss,Seahawks,win,win
138,2002,Jaguars,win,win,Washington,loss,loss
139,2002,Bears,loss,win,Patriots,win,loss
140,2002,49ers,win,win,Chiefs,loss,loss
141,2002,Jets,win,win,Dolphins,loss,loss
142,2002,Broncos,loss,loss,Raiders,win,win
143,2002,Falcons,win,win,Saints,loss,loss
144,2002,Bengals,loss,win,Browns,win,win
145,2002,Titans,win,win,Steelers,loss,loss
146,2002,Colts,win,win,Cowboys,loss,loss
147,2002,Chiefs,win,win,Bills,loss,loss
148,2002,Vikings,win,win,Packers,loss,loss
149,2002,Giants,win,win,Washington,loss,loss
150,2002,Eagles,win,win,Cardinals,loss,loss
151,2002,Texans,loss,win,Jaguars,win,win
152,2002,Chargers,win,win,49ers,loss,win
153,2002,Buccaneers,win,win,Panthers,loss,loss
154,2002,Lions,loss,loss,Jets,win,win
155,2002,Dolphins,win,win,Ravens,loss,loss
156,2002,Seahawks,loss,loss,Broncos,win,win
157,2002,Raiders,win,win,Patriots,loss,win
158,2002,Rams,win,loss,Bears,loss,loss
159,2002,Bears,win,win,Lions,loss,loss
160,2002,Cowboys,win,win,Jaguars,loss,loss
161,2002,Dolphins,win,win,Chargers,loss,loss
162,2002,Patriots,win,win,Vikings,loss,loss
163,2002,Saints,loss,loss,Browns,win,win
164,2002,Jets,win,win,Bills,loss,loss
165,2002,Steelers,win,win,Bengals,loss,loss
166,2002,Washington,win,win,Rams,loss,loss
167,2002,Panthers,loss,loss,Falcons,win,win
168,2002,Ravens,win,loss,Titans,loss,loss
169,2002,Cardinals,loss,loss,Raiders,win,win
170,2002,Seahawks,win,win,Chiefs,loss,win
171,2002,Buccaneers,win,loss,Packers,loss,loss
172,2002,Texans,win,win,Giants,loss,loss
173,2002,Broncos,loss,loss,Colts,win,win
174,2002,49ers,loss,loss,Eagles,win,win
175,2002,Lions,loss,loss,Patriots,win,win
176,2002,Cowboys,win,win,Washington,loss,loss
177,2002,Bills,win,win,Dolphins,loss,loss
178,2002,Bengals,loss,win,Ravens,win,win
179,2002,Browns,loss,loss,Panthers,win,win
180,2002,Packers,win,win,Bears,loss,loss
181,2002,Chiefs,win,win,Cardinals,loss,loss
182,2002,Vikings,loss,loss,Falcons,win,loss
183,2002,Giants,loss,win,Titans,win,win
184,2002,Jaguars,loss,loss,Steelers,win,win
185,2002,Colts,win,win,Texans,loss,loss
186,2002,Chargers,win,win,Broncos,loss,loss
187,2002,Eagles,win,loss,Rams,loss,loss
188,2002,49ers,win,win,Seahawks,loss,loss
189,2002,Saints,win,loss,Buccaneers,loss,loss
190,2002,Raiders,win,win,Jets,loss,loss
191,2002,Cowboys,loss,win,49ers,win,win
192,2002,Titans,win,win,Colts,loss,loss
193,2002,Chiefs,win,win,Rams,loss,loss
194,2002,Patriots,win,win,Bills,loss,loss
195,2002,Steelers,loss,loss,Texans,win,win
196,2002,Buccaneers,win,win,Falcons,loss,loss
197,2002,Washington,loss,loss,Giants,win,win
198,2002,Panthers,win,win,Bengals,loss,win
199,2002,Jaguars,loss,win,Browns,win,win
200,2002,Cardinals,win,loss,Lions,loss,loss
201,2002,Seahawks,loss,loss,Eagles,win,win
202,2002,Ravens,loss,loss,Saints,win,win
203,2002,Jets,win,win,Broncos,loss,win
204,2002,Chargers,loss,loss,Raiders,win,win
205,2002,Packers,win,win,Vikings,loss,loss
206,2002,Dolphins,win,win,Bears,loss,loss
207,2002,Falcons,loss,win,Seahawks,win,win
208,2002,Bills,win,loss,Chargers,loss,win
209,2002,Bears,win,win,Jets,loss,loss
210,2002,Bengals,loss,loss,Jaguars,win,win
211,2002,Browns,loss,win,Colts,win,win
212,2002,Lions,loss,loss,Buccaneers,win,win
213,2002,Dolphins,win,win,Raiders,loss,loss
214,2002,Saints,loss,win,Vikings,win,win
215,2002,Eagles,win,win,Washington,loss,loss
216,2002,Steelers,win,win,Panthers,loss,loss
217,2002,Texans,loss,loss,Ravens,win,win
218,2002,Broncos,win,win,Chiefs,loss,win
219,2002,Giants,win,win,Cowboys,loss,loss
220,2002,49ers,loss,loss,Packers,win,win
221,2002,Rams,win,loss,Cardinals,loss,win
222,2002,Titans,win,win,Patriots,loss,loss
223,2002,Vikings,win,loss,Dolphins,loss,loss
224,2002,Cardinals,loss,loss,49ers,win,win
225,2002,Cowboys,loss,loss,Eagles,win,win
226,2002,Falcons,win,win,Lions,loss,loss
227,2002,Bengals,win,win,Saints,loss,loss
228,2002,Packers,win,loss,Bills,loss,loss
229,2002,Colts,loss,loss,Giants,win,win
230,2002,Chiefs,win,win,Chargers,loss,win
231,2002,Washington,win,win,Texans,loss,loss
232,2002,Panthers,win,win,Bears,loss,loss
233,2002,Jaguars,loss,loss,Titans,win,win
234,2002,Seahawks,win,win,Rams,loss,loss
235,2002,Raiders,win,win,Broncos,loss,loss
236,2002,Ravens,loss,loss,Browns,win,win
237,2002,Patriots,loss,loss,Jets,win,win
238,2002,Buccaneers,loss,loss,Steelers,win,win
239,2002,Giants,win,win,Eagles,loss,loss
240,2002,Raiders,win,win,Chiefs,loss,loss
241,2002,Bills,win,win,Bengals,loss,loss
242,2002,Browns,win,loss,Falcons,loss,loss
243,2002,Lions,loss,loss,Vikings,win,win
244,2002,Patriots,win,win,Dolphins,loss,win
245,2002,Saints,loss,loss,Panthers,win,loss
246,2002,Steelers,win,win,Ravens,loss,loss
247,2002,Washington,win,win,Cowboys,loss,loss
248,2002,Texans,loss,loss,Titans,win,win
249,2002,Colts,win,win,Jaguars,loss,win
250,2002,Broncos,win,win,Cardinals,loss,loss
251,2002,Jets,win,win,Packers,loss,win
252,2002,Chargers,loss,loss,Seahawks,win,win
253,2002,Bears,loss,loss,Buccaneers,win,win
254,2002,Rams,win,loss,49ers,loss,win
255,2003,Jets,win,win,Colts,loss,loss
256,2003,Packers,loss,loss,Falcons,win,win
